Rank_QS,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_Score,Academic Reputation  RANK,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Ratio_Score,Faculty_Student_Ratio_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International Faculty  SCORE,International Faculty  RANK,International_Student_Score,International student  RANK,International_Students_Diversity_Score,International_Students_Diversity_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,QS_Overall_Score,Rank_THE,Country,Student_Population,Students_to_Staff_Ratio,International_Students,Female_to_Male_Ratio,THE_Overall_Score,Teaching,Research_Environment,Research_Quality,Industry_Impact,International_Outlook,Year,Country,QS_Rank_Normalized,THE_Rank_Normalized
362,354,University of Pretoria,South Africa,Africa,XL,FC,VH,Public,32.3,381,55.1,221,6.2,801,31.2,574,57.2,404,17.4,776.0,23.5,713.0,97.6,26.0,84.8,138,80.1,168,40.9,588.0,South Africa,34827.0,18.4,0.07,"2 days, 13:39:00",44.1755,32.3,34.7,57.5,61.1,65.2,2026.0,South Africa,362.0,588.0
362,358,University of Tartu,Estonia,Europe,M,FC,VH,Public,28.6,437,23.7,567,94.6,79,19.1,728,62.1,374,20.8,712.0,26.9,654.0,89.0,186.0,89.2,112,64.2,417=,40.9,353.0,Estonia,9766.0,8.9,0.13,"2 days, 20:32:00",51.5649999999999,34.5,31.4,84.0,65.1,59.7,2026.0,Estonia,362.0,353.0
362,336,University of the Philippines,Philippines,Asia,XL,FC,HI,Public,50.6,220,71.1,143,42.7,467,3.2,801,2.4,801,1.2,801.0,5.7,801.0,66.4,600.0,80.8,155,68.9,331=,40.9,1376.0,Philippines,54405.0,10.7,0.0,"2 days, 9:43:00",29.0249999999999,27.4,17.9,39.0,28.9,38.6,2026.0,Philippines,362.0,1376.0
366,375,University of Turku,Finland,Europe,L,FC,VH,Public,36.3,334,20.2,651,63.2,279,39.6,476,46.2,462,8.9,801.0,14.7,801.0,89.2,184.0,46.1,378,74.4,250=,40.6,344.0,Finland,13966.0,15.4,0.07,"2 days, 16:36:00",52.018,34.2,35.6,83.4,66.0,52.6,2026.0,Finland,366.0,344.0
367,316,RUDN University,Russian Federation,Europe,XL,FC,VH,Public,28.4,443,61.2,189,94.0,84,3.9,801,10.9,801,95.3,123.0,95.6,105.0,88.3,199.0,14.3,801,58.9,521=,40.5,825.0,Russian Federation,27303.0,17.8,0.34,"2 days, 11:41:00",38.509,39.9,27.8,40.2,36.6,68.7,2026.0,Russian Federation,367.0,825.0
371,377,Pontificia Universidad Javeriana,Colombia,Americas,L,FC,HI,Private not for Profit,60.5,173,61.8,185,37.8,535,2.7,801,3.8,801,3.7,801.0,8.5,801.0,38.7,801.0,83.1,144,58.6,530=,40.3,1722.0,Colombia,29088.0,14.2,0.01,"2 days, 8:44:00",23.7355,21.1,13.0,31.8,24.4,43.0,2026.0,Colombia,371.0,1722.0
374,416,Oxford Brookes University,United Kingdom,Europe,L,CO,HI,Public,38.7,309,62.3,178,14.8,801,12.4,801,80.8,291,89.8,168.0,90.7,143.0,61.8,666.0,26.0,624,59.8,506,40,819.0,United Kingdom,13930.0,13.6,0.3,"2 days, 8:44:00",38.6359999999999,26.9,23.1,53.9,30.6,88.1,2026.0,United Kingdom,374.0,819.0
378,340,University of Saskatchewan,Canada,Americas,L,FC,VH,Public,16.0,701,10.2,701,21.1,801,71.9,201,82.4,276,65.4,305.0,68.7,280.0,77.3,397.0,44.3,396,83.6,131,39.6,397.0,Canada,18283.0,19.2,0.22,"2 days, 7:45:00",49.9565,39.5,34.0,63.0,96.1,76.0,2026.0,Canada,378.0,397.0
381,355,University of Luxembourg,Luxembourg,Europe,M,FO,VH,Public,13.2,701,8.2,701,87.2,118,39.5,479,100.0,19,100.0,33.0,100.0,21.0,68.1,566.0,58.8,277,42.4,801,39.4,265.0,Luxembourg,5718.0,20.0,0.52,"2 days, 5:47:00",55.7969999999999,39.9,39.3,75.1,79.8,92.1,2026.0,Luxembourg,381.0,265.0
385,342,Brunel University of London,United Kingdom,Europe,L,CO,VH,Public,17.6,694,25.2,536,12.2,801,51.8,364,99.5,114,100.0,32.0,100.0,20.0,76.7,410.0,28.8,578,80.4,163=,39.1,414.0,United Kingdom,15410.0,18.0,0.53,"1 day, 20:56:00",49.2875,24.0,26.6,81.8,64.9,98.1,2026.0,United Kingdom,385.0,414.0
387,336,Flinders University,Australia,Oceania,L,FC,VH,Public,19.6,629,9.7,701,11.3,801,64.3,252,97.9,144,97.3,99.0,97.4,87.0,77.3,400.0,15.5,801,81.6,154=,39,320.0,Australia,16021.0,29.9,0.4,"2 days, 15:37:00",53.172,27.9,36.9,82.9,68.7,88.3,2026.0,Australia,387.0,320.0
390,393,National and Kapodistrian University of Athens,Greece,Europe,XL,FC,VH,Public,34.9,344,38.9,354,3.0,801,45.1,412,12.7,801,27.2,624.0,32.7,581.0,79.7,358.0,88.9,115,64.3,415=,38.4,502.0,Greece,66736.0,34.1,0.12,"2 days, 12:40:00",46.2475,24.4,26.8,78.0,92.5,55.7,2026.0,Greece,390.0,502.0
391,501,Abu Dhabi University,United Arab Emirates,Asia,S,FO,VH,Private for Profit,24.6,518,49.8,256,23.9,755,35.9,518,100.0,5,99.9,44.0,99.9,32.0,34.5,801.0,10.1,801,49.6,711=,38.3,233.0,United Arab Emirates,2344.0,10.7,0.6,"2 days, 2:50:00",57.1709999999999,38.0,33.9,92.0,29.5,98.0,2026.0,United Arab Emirates,391.0,233.0
395,423,Aston University,United Kingdom,Europe,L,CO,VH,Public,18.1,673,27.1,506,12.0,801,56.7,309,97.9,142,63.4,317.0,67.0,290.0,81.8,317.0,28.3,587,67.6,355=,38.1,427.0,United Kingdom,15710.0,20.9,0.35,"1 day, 23:53:00",48.8409999999999,21.7,26.2,83.6,64.6,95.7,2026.0,United Kingdom,395.0,427.0
397,380,University of Kent,United Kingdom,Europe,L,CO,VH,Public,20.2,607,13.8,701,16.2,801,58.3,297,96.4,163,49.2,414.0,54.0,381.0,88.0,202.0,44.0,404,65.5,387=,37.7,438.0,United Kingdom,15680.0,17.0,0.28,"2 days, 6:46:00",48.4195,29.5,28.4,73.2,64.4,92.6,2026.0,United Kingdom,397.0,438.0
400,384,Western Sydney University,Australia,Oceania,XL,FC,VH,Public,26.3,480,22.5,593,7.4,801,44.5,419,100.0,59,67.7,292.0,70.9,263.0,87.3,211.0,11.8,801,82.6,140,37.5,306.0,Australia,32737.0,36.4,0.26,"2 days, 11:41:00",54.0185,30.6,31.8,88.0,68.3,88.5,2026.0,Australia,400.0,306.0
401,431,University of Granada,Spain,Europe,XL,FC,VH,Public,59.3,178,24.3,554,11.2,801,26.3,622,9.9,801,31.7,572.0,37.6,522.0,96.4,51.0,13.1,801,58.4,536=,37.4,642.0,Spain,51046.0,14.3,0.11,"2 days, 13:39:00",42.5495,31.3,29.7,60.9,60.7,53.4,2026.0,Spain,401.0,642.0
401,421,University of Limerick,Ireland,Europe,L,FC,HI,Public,27.9,453,36.6,390,23.6,758,34.5,527,93.2,198,48.4,417.0,53.3,385.0,71.6,506.0,14.7,801,75.9,223=,37.4,537.0,Ireland,14691.0,27.1,0.18,"2 days, 4:48:00",45.5299999999999,28.6,34.6,61.7,73.1,75.0,2026.0,Ireland,401.0,537.0
404,375,University of Florence,Italy,Europe,XL,FC,VH,Public,45.1,262,16.9,701,7.0,801,49.7,376,11.2,801,20.8,713.0,26.9,655.0,86.1,234.0,36.9,468,72.9,275=,37.2,355.0,Italy,42558.0,22.9,0.09,"2 days, 12:40:00",51.4234999999999,37.6,37.9,75.9,76.7,46.7,2026.0,Italy,404.0,355.0
408,371,University of Turin,Italy,Europe,XL,FC,VH,Public,48.1,237,14.3,701,5.1,801,42.5,447,5.2,801,10.1,801.0,16.0,801.0,90.0,175.0,61.4,257,78.7,188=,36.9,468.0,Italy,60028.0,25.4,0.06,"2 days, 14:38:00",47.212,24.3,31.9,81.7,74.0,44.3,2026.0,Italy,408.0,468.0
410,412,Auckland University of Technology,New Zealand,Oceania,L,CO,VH,Public,29.6,417,22.5,587,13.7,801,33.2,549,100.0,76,100.0,39.0,100.0,27.0,50.4,801.0,23.4,663,74.0,259=,36.7,587.0,New Zealand,17420.0,17.0,0.49,"2 days, 11:41:00",44.1984999999999,22.6,22.8,73.6,49.8,91.3,2026.0,New Zealand,410.0,587.0
410,421,Dublin City University,Ireland,Europe,L,FC,HI,Public,29.2,423,37.5,376,27.8,683,22.0,685,80.8,292,43.2,466.0,48.4,429.0,78.0,381.0,40.2,436,79.7,175=,36.7,310.0,Ireland,14712.0,27.3,0.13,"2 days, 10:42:00",53.6939999999999,28.5,36.6,88.6,69.0,71.1,2026.0,Ireland,410.0,310.0
410,539,Sunway University,Malaysia,Asia,M,CO,VH,Private not for Profit,20.9,592,53.3,228,56.9,324,25.2,636,57.1,405,66.9,298.0,68.7,279.0,61.4,671.0,5.1,801,61.2,474=,36.7,307.0,Malaysia,5046.0,8.4,0.27,"2 days, 5:47:00",54.0054999999999,27.2,34.2,90.1,58.4,89.3,2026.0,Malaysia,410.0,307.0
410,396,University of Southern Queensland,Australia,Oceania,M,CO,VH,Public,11.0,701,8.2,701,7.9,801,90.1,103,78.5,304,48.7,416.0,52.0,398.0,82.2,307.0,11.0,801,65.5,387=,36.7,373.0,Australia,10582.0,21.5,0.19,"2 days, 15:37:00",50.7099999999999,29.3,26.8,87.1,51.3,81.5,2026.0,Australia,410.0,373.0
419,359,University of Aveiro,Portugal,Europe,L,CO,VH,Public,18.6,658,15.5,701,13.1,801,94.7,73,5.2,801,24.8,667.0,30.9,605.0,85.5,245.0,3.3,801,64.7,405=,36.4,741.0,Portugal,14095.0,15.9,0.11,"2 days, 6:46:00",40.2814999999999,31.6,31.5,53.8,55.3,46.3,2026.0,Portugal,419.0,741.0
420,425,National Taipei University of Technology,Taiwan,Asia,M,FO,VH,Public,18.2,672,57.6,202,28.6,667,58.8,294,25.6,639,31.7,573.0,34.9,552.0,25.6,801.0,29.2,565,58.9,521=,36.3,1251.0,Taiwan,10608.0,12.4,0.05,29 : 71,31.2825,26.4,22.5,36.5,82.8,36.1,2026.0,Taiwan,420.0,1251.0
423,436,Murdoch University,Australia,Oceania,M,CO,VH,Public,13.0,701,8.7,701,7.4,801,73.9,184,89.6,226,82.5,209.0,61.4,328.0,75.1,442.0,24.9,642,53.4,632=,36.1,406.0,Australia,15815.0,29.1,0.53,,49.657,25.9,27.4,80.2,72.7,94.7,2026.0,Australia,423.0,406.0
423,462,Tampere University,Finland,Europe,L,FC,VH,Public,29.2,424,24.7,543,24.8,737,47.7,392,61.6,378,13.9,801.0,19.6,771.0,84.0,277.0,42.1,417,49.2,729=,36.1,346.0,Finland,17284.0,19.2,0.1,"2 days, 5:47:00",51.9299999999999,31.2,38.7,80.2,85.2,53.8,2026.0,Finland,423.0,346.0
427,413,Graz University of Technology,Austria,Europe,M,FO,VH,Public,21.9,568,22.1,601,99.2,43,18.8,735,86.6,248,71.3,267.0,53.1,388.0,52.3,801.0,15.2,801,42.6,801,36,633.0,Austria,6734.0,8.7,0.26,27 : 73,42.6604999999999,41.9,22.7,46.5,95.3,79.4,2026.0,Austria,427.0,633.0
428,418,University of Dundee,United Kingdom,Europe,M,FC,VH,Public,25.5,497,21.3,618,44.8,438,20.6,704,92.0,209,84.4,198.0,85.8,169.0,78.7,374.0,13.9,801,78.6,190=,35.9,325.0,United Kingdom,15420.0,19.4,0.36,"2 days, 17:35:00",52.849,28.5,32.6,82.1,87.0,91.7,2026.0,United Kingdom,428.0,325.0
430,408,Masaryk University,Czechia,Europe,XL,CO,VH,Public,32.3,383,37.3,377,13.1,801,18.8,738,34.5,541,76.8,245.0,79.0,217.0,79.8,355.0,58.8,278,77.0,214=,35.7,697.0,Czechia,33661.0,18.2,0.25,"2 days, 14:38:00",41.4989999999999,26.8,32.6,57.1,51.1,66.2,2026.0,Czechia,430.0,697.0
435,452,National Taiwan Normal University,Taiwan,Asia,M,CO,VH,Public,47.8,240,28.2,493,68.3,243,9.6,801,19.7,717,39.6,495.0,42.6,486.0,24.1,801.0,29.0,573,68.2,346=,35.4,570.0,Taiwan,11067.0,12.4,0.17,,44.5895,36.7,32.3,56.2,86.4,54.4,2026.0,Taiwan,435.0,570.0
436,513,Prince Mohammad Bin Fahd University,Saudi Arabia,Asia,S,SP,VH,Private not for Profit,22.5,558,33.6,427,33.1,588,54.7,331,100.0,13,29.6,593.0,22.2,726.0,32.3,801.0,3.3,801,37.4,801,35.2,352.0,Saudi Arabia,2470.0,10.8,0.17,"1 day, 23:53:00",51.6155,32.0,33.3,78.5,56.4,89.5,2026.0,Saudi Arabia,436.0,352.0
436,466,Universitat Ramon Llull,Spain,Europe,L,CO,HI,Private not for Profit,17.5,701,72.5,136,10.3,801,15.5,797,80.4,295,68.0,290.0,71.1,261.0,31.3,801.0,81.2,152,56.7,562=,35.2,900.0,Spain,16683.0,22.0,0.24,"2 days, 5:47:00",37.1875,20.8,17.6,63.2,36.5,73.7,2026.0,Spain,436.0,900.0
440,477,Ajman University,United Arab Emirates,Asia,S,FO,VH,Private not for Profit,27.8,454,51.3,241,15.7,801,10.2,801,100.0,8,100.0,4.0,99.7,37.0,65.2,621.0,12.8,801,46.2,801,34.9,411.0,United Arab Emirates,4626.0,15.2,0.81,"2 days, 9:43:00",49.5085,25.8,28.7,84.0,22.8,99.5,2026.0,United Arab Emirates,440.0,411.0
440,445,James Cook University,Australia,Oceania,M,FC,VH,Public,21.0,591,11.0,701,27.5,689,60.3,286,46.9,454,37.6,518.0,43.2,480.0,83.8,279.0,11.2,801,81.9,151=,34.9,357.0,Australia,9165.0,15.3,0.14,"2 days, 18:34:00",51.2615,28.8,31.9,82.3,67.8,81.5,2026.0,Australia,440.0,357.0
446,439,Vilnius University,Lithuania,Europe,L,FC,HI,Public,26.9,467,28.0,496,73.1,210,6.2,801,28.4,601,28.5,609.0,34.5,557.0,80.2,351.0,91.3,93,70.3,313=,34.8,868.0,Lithuania,19929.0,11.7,0.12,"2 days, 17:35:00",37.738,26.8,26.5,53.6,58.3,49.8,2026.0,Lithuania,446.0,868.0
447,387,Belarusian State University,Belarus,Europe,L,CO,HI,Public,32.5,377,51.5,239,91.8,98,1.7,801,4.9,801,71.1,268.0,67.5,286.0,34.4,801.0,61.3,258,48.7,,34.6,1880.0,Belarus,23445.0,8.3,0.22,"2 days, 10:42:00",20.5105,24.7,11.1,10.9,45.0,65.8,2026.0,Belarus,447.0,1880.0
450,401,Kazan Federal University,Russian Federation,Europe,L,FC,VH,Public,27.2,460,19.5,669,98.1,54,3.8,801,14.0,801,97.7,94.0,97.8,83.0,86.7,225.0,19.6,732,55.3,596=,34.3,989.0,Russian Federation,22575.0,11.1,0.33,"2 days, 18:34:00",35.684,46.6,22.1,27.7,52.2,68.4,2026.0,Russian Federation,450.0,989.0
452,389,University of Cyprus,Cyprus,Asia,M,CO,VH,Public,14.6,701,10.8,701,10.3,801,62.3,270,94.3,187,42.2,471.0,46.1,452.0,69.8,534.0,54.6,306,52.9,650,34.2,493.0,Cyprus,6983.0,19.9,0.14,"2 days, 14:38:00",46.554,28.9,30.7,69.2,70.2,74.1,2026.0,Cyprus,452.0,493.0
456,472,University of Essex,United Kingdom,Europe,L,CO,VH,Public,23.7,535,9.9,701,17.1,801,35.1,525,99.9,102,99.2,64.0,99.2,53.0,77.0,404.0,24.7,645,54.5,610=,34.1,350.0,United Kingdom,16005.0,14.8,0.48,"2 days, 7:45:00",51.683,30.1,30.2,81.0,61.2,97.3,2026.0,United Kingdom,456.0,350.0
461,442,Novosibirsk State University,Russian Federation,Europe,M,FO,VH,Public,28.8,432,31.1,460,93.6,87,13.0,801,9.1,801,70.6,272.0,69.5,274.0,55.7,758.0,13.3,801,43.8,801,33.9,1136.0,Russian Federation,7300.0,6.6,0.23,,33.0895,38.4,29.6,24.0,57.0,49.3,2026.0,Russian Federation,461.0,1136.0
465,383,Anna University,India,Asia,L,SP,VH,Public,15.0,701,19.4,674,9.2,801,99.8,23,20.1,,1.6,801.0,6.0,801.0,47.3,801.0,17.8,763,64.5,409=,33.8,984.0,India,11396.0,12.1,0.01,"1 day, 17:59:00",35.773,39.2,16.2,51.8,59.9,21.0,2026.0,India,465.0,984.0
465,415,Concordia University,Canada,Americas,XL,CO,VH,Public,21.7,572,18.0,701,5.2,801,32.0,563,64.0,362,94.4,135.0,94.8,112.0,75.6,429.0,58.4,281,81.8,153,33.8,659.0,Canada,36811.0,25.5,0.35,"2 days, 1:51:00",42.1419999999999,24.5,25.8,63.7,68.0,74.7,2026.0,Canada,465.0,659.0
480,474,Hiroshima University,Japan,Asia,L,FC,VH,Public,34.6,351,17.1,701,79.8,168,17.2,762,19.2,725,22.7,690.0,17.1,801.0,70.3,525.0,12.4,801,73.2,271=,33.2,638.0,Japan,14922.0,8.7,0.12,38 : 62,42.6219999999999,41.7,31.4,47.8,79.8,49.1,2026.0,Japan,480.0,638.0
482,465,Kobe University,Japan,Asia,L,FC,VH,Public,36.9,324,39.0,353,45.0,434,19.4,725,11.2,801,10.7,801.0,15.9,801.0,53.3,791.0,27.0,608,73.3,269=,33,728.0,Japan,15355.0,9.8,0.07,35 : 65,40.556,41.5,28.9,45.0,89.0,38.3,2026.0,Japan,482.0,728.0
485,508,Aristotle University of Thessaloniki,Greece,Europe,XL,FC,VH,Public,38.2,311,35.9,402,6.4,801,28.4,602,2.1,801,8.1,801.0,13.8,801.0,90.9,160.0,48.3,359,66.4,371=,32.9,936.0,Greece,47845.0,18.9,0.05,"2 days, 10:42:00",36.6215,22.7,19.4,63.4,62.6,37.0,2026.0,Greece,485.0,936.0
485,506,University of Trento,Italy,Europe,L,CO,VH,Public,34.8,346,18.6,693,32.9,589,40.0,470,32.3,560,11.3,801.0,17.2,801.0,85.6,244.0,7.1,801,51.8,665=,32.9,360.0,Italy,14183.0,16.6,0.09,"2 days, 5:47:00",51.0595,34.6,35.2,77.4,70.3,61.5,2026.0,Italy,485.0,360.0
487,516,Edith Cowan University,Australia,Oceania,L,CO,VH,Public,13.7,701,13.1,701,6.0,801,60.4,285,96.4,160,82.4,210.0,84.0,176.0,63.8,637.0,7.4,801,51.0,680=,32.8,381.0,Australia,18928.0,27.9,0.35,"2 days, 14:38:00",50.3384999999999,22.5,25.8,89.2,69.6,89.0,2026.0,Australia,487.0,381.0
487,527,Warsaw University of Technology,Poland,Europe,L,FO,VH,Public,28.4,442,72.4,137,55.7,337,9.5,801,3.4,801,17.6,771.0,23.7,710.0,63.8,638.0,15.9,801,38.4,801,32.8,1427.0,Poland,21694.0,10.3,0.08,31 : 69,28.3379999999999,28.3,17.7,32.9,61.1,33.9,2026.0,Poland,487.0,1427.0
494,403,University of Canberra,Australia,Oceania,M,CO,VH,Public,18.2,670,11.9,701,3.4,801,50.8,370,82.8,274,83.1,205.0,84.6,173.0,66.7,593.0,10.9,801,73.2,271=,32.5,442.0,Australia,10723.0,27.2,0.44,"2 days, 9:43:00",48.3339999999999,25.7,31.0,76.0,57.0,89.1,2026.0,Australia,494.0,442.0
499,431,Tomsk State University,Russian Federation,Europe,M,CO,VH,Public,25.3,502,20.0,656,99.3,39,7.0,801,28.0,609,94.7,131.0,93.2,125.0,66.4,599.0,7.1,801,30.6,801,32.2,668.0,Russian Federation,7985.0,11.7,0.37,,41.9429999999999,50.5,38.3,27.0,55.9,74.7,2026.0,Russian Federation,499.0,668.0
503,587,Shoolini University of Biotechnology and Management Sciences,India,Asia,S,CO,VH,Private not for Profit,16.2,701,22.5,589,12.1,801,82.6,138,29.0,595,2.2,801.0,6.4,801.0,54.1,781.0,1.8,801,57.3,555=,32.1,454.0,India,3676.0,16.4,0.01,"2 days, 2:50:00",47.9845,27.8,24.1,88.7,25.8,68.7,2026.0,India,503.0,454.0
504,456,University of Guelph,Canada,Americas,L,CO,VH,Public,19.9,621,19.2,680,7.9,801,55.2,327,49.6,443,24.0,672.0,30.1,613.0,74.8,446.0,18.2,755,80.7,161,32,446.0,Canada,23314.0,28.3,0.11,"2 days, 11:41:00",48.1089999999999,34.8,36.7,64.1,80.0,63.6,2026.0,Canada,504.0,446.0
511,516,Ateneo de Manila University,Philippines,Asia,L,FC,MD,Private not for Profit,32.2,385,70.0,148,33.1,586,3.0,801,3.6,801,4.3,801.0,8.5,801.0,24.3,801.0,80.4,157,60.5,497=,31.6,1070.0,Philippines,14540.0,10.1,0.01,"2 days, 8:44:00",34.245,27.0,11.2,64.7,23.8,35.6,2026.0,Philippines,511.0,1070.0
511,508,SOAS University of London,United Kingdom,Europe,M,FO,VH,Public,24.7,516,19.0,686,18.4,801,23.7,663,100.0,67,99.2,63.0,99.2,52.0,17.8,801.0,35.2,489,65.0,398=,31.6,477.0,United Kingdom,5395.0,15.0,0.41,"2 days, 15:37:00",46.998,38.7,34.7,59.9,38.9,79.9,2026.0,United Kingdom,511.0,477.0
511,531,University of Bradford,United Kingdom,Europe,M,CO,VH,Public,14.0,701,11.2,701,9.3,801,40.3,465,75.0,316,99.2,66.0,99.2,56.0,70.5,519.0,41.5,421,70.4,311=,31.6,569.0,United Kingdom,11775.0,22.0,0.47,"2 days, 8:44:00",44.6864999999999,21.4,21.4,76.1,58.5,93.3,2026.0,United Kingdom,511.0,569.0
515,567,Lebanese University,Lebanon,Asia,XL,FC,HI,Public,32.9,372,55.3,219,16.0,801,3.4,801,52.2,427,47.2,428.0,44.1,474.0,59.9,695.0,38.9,445,45.2,801,31.5,1480.0,Lebanon,44105.0,13.6,0.18,"2 days, 7:45:00",27.5229999999999,34.8,14.0,21.5,22.8,77.8,2026.0,Lebanon,515.0,1480.0
517,452,University of Stirling,United Kingdom,Europe,M,CO,VH,Public,16.8,701,13.1,701,14.6,801,38.3,489,79.5,299,81.3,218.0,83.0,183.0,62.7,655.0,22.4,685,81.2,158=,31.4,516.0,United Kingdom,11725.0,18.9,0.34,"2 days, 11:41:00",45.8614999999999,24.4,26.3,74.6,45.6,91.1,2026.0,United Kingdom,517.0,516.0
519,516,Ural Federal University,Russian Federation,Europe,XL,CO,VH,Public,25.8,488,24.7,544,98.2,53,3.5,801,8.7,801,49.3,412.0,54.1,379.0,91.0,158.0,5.6,801,54.4,613=,31.3,956.0,Russian Federation,29855.0,15.7,0.15,"2 days, 4:48:00",36.239,25.7,29.2,44.4,58.3,60.5,2026.0,Russian Federation,519.0,956.0
524,501,University of Huddersfield,United Kingdom,Europe,L,CO,VH,Public,17.9,683,19.0,684,9.1,801,36.3,515,79.7,298,91.6,154.0,92.2,131.0,74.6,450.0,2.2,801,69.1,329=,31.2,540.0,United Kingdom,14200.0,19.9,0.31,"2 days, 10:42:00",45.4024999999999,25.6,23.9,73.9,51.3,89.3,2026.0,United Kingdom,524.0,540.0
526,567,Chiang Mai University,Thailand,Asia,XL,FC,HI,Public,48.8,236,30.4,467,22.0,790,8.8,801,5.5,801,8.7,801.0,13.3,801.0,65.8,613.0,28.7,584,67.6,355=,30.9,1046.0,Thailand,35691.0,13.9,0.04,"2 days, 13:39:00",34.6645,29.0,18.8,51.7,55.0,39.3,2026.0,Thailand,526.0,1046.0
526,516,University of Hull,United Kingdom,Europe,L,FC,HI,Public,13.2,701,14.3,701,15.9,801,36.9,505,68.3,342,95.6,121.0,95.9,103.0,70.3,526.0,29.5,556,75.4,228=,30.9,525.0,United Kingdom,13250.0,18.4,0.35,"2 days, 7:45:00",45.7105,27.3,23.8,72.9,57.5,87.8,2026.0,United Kingdom,526.0,525.0
526,539,University of Salamanca,Spain,Europe,L,FC,VH,Public,36.9,323,23.5,568,36.8,545,11.8,801,10.2,801,25.9,647.0,31.9,590.0,86.3,231.0,33.4,506,70.8,303=,30.9,916.0,Spain,25749.0,14.6,0.16,"2 days, 13:39:00",36.9534999999999,32.0,24.8,47.9,46.6,54.5,2026.0,Spain,526.0,916.0
530,547,University of Genoa,Italy,Europe,L,FC,VH,Public,28.0,451,10.6,701,19.8,801,52.6,358,9.2,801,17.5,773.0,23.6,711.0,83.1,291.0,16.6,795,62.3,452=,30.8,410.0,Italy,20218.0,16.4,0.09,"2 days, 10:42:00",49.5295,39.4,30.9,74.6,76.2,46.9,2026.0,Italy,530.0,410.0
535,601-610,King Khalid University,Saudi Arabia,Asia,L,FC,VH,Public,25.8,489,17.6,701,64.6,274,7.0,801,100.0,30,35.9,535.0,26.9,658.0,84.4,266.0,2.7,801,45.7,801,30.6,302.0,Saudi Arabia,29832.0,7.1,0.15,"2 days, 7:45:00",54.269,41.2,31.6,80.0,58.4,88.2,2026.0,Saudi Arabia,535.0,302.0
535,701-710,Lebanese American University,Lebanon,Asia,M,FC,HI,Private not for Profit,20.2,610,44.6,301,31.3,612,10.7,801,80.6,293,26.6,638.0,31.7,593.0,78.3,380.0,29.2,564,58.3,539=,30.6,268.0,Lebanon,7606.0,12.0,0.13,"2 days, 4:48:00",55.731,36.8,32.5,93.7,32.0,80.8,2026.0,Lebanon,535.0,268.0
535,596,University of Ljubljana,Slovenia,Europe,XL,FC,VH,Public,29.7,414,18.9,689,45.6,431,11.0,801,7.1,801,18.1,760.0,13.7,801.0,85.7,241.0,98.1,41,54.2,619=,30.6,858.0,Slovenia,37509.0,12.8,0.09,"2 days, 12:40:00",37.862,27.8,23.8,56.0,69.1,42.6,2026.0,Slovenia,535.0,858.0
542,592,Ain Shams University,Egypt,Africa,XL,FC,VH,Public,35.6,340,38.8,357,17.1,801,3.5,801,29.5,590,13.7,801.0,19.7,769.0,80.8,336.0,69.6,216,56.7,562=,30.3,904.0,Egypt,171505.0,14.3,0.07,"2 days, 4:48:00",37.1545,28.6,27.5,50.4,41.0,53.1,2026.0,Egypt,542.0,904.0
542,570,University of the Punjab,Pakistan,Asia,XL,CO,VH,Public,22.5,559,57.6,203,5.7,801,24.4,649,4.0,801,1.7,801.0,6.1,801.0,71.8,504.0,89.4,109,44.3,801,30.3,903.0,Pakistan,28679.0,21.6,0.01,"2 days, 14:38:00",37.1609999999999,28.4,15.2,64.4,31.5,50.6,2026.0,Pakistan,542.0,903.0
546,547,University of Windsor,Canada,Americas,L,CO,VH,Public,5.1,701,7.1,701,2.7,801,58.2,299,89.4,228,94.6,132.0,95.0,110.0,49.5,801.0,34.4,497,68.7,339=,30.2,536.0,Canada,14932.0,35.1,0.36,,45.5445,30.4,31.4,60.5,68.2,87.9,2026.0,Canada,546.0,536.0
551,596,Thammasat University,Thailand,Asia,XL,FC,HI,Public,36.7,329,38.3,365,27.2,694,3.9,801,15.9,779,2.2,801.0,6.9,801.0,45.7,801.0,90.6,100,60.7,494=,29.9,1477.0,Thailand,39733.0,14.8,0.01,"2 days, 16:36:00",27.5875,23.5,21.0,33.8,37.5,39.0,2026.0,Thailand,551.0,1477.0
551,641-650,Universiti Tenaga Nasional (UNITEN),Malaysia,Asia,S,SP,VH,Private for Profit,9.5,701,19.9,660,76.6,187,34.1,535,34.7,537,70.5,274.0,65.6,299.0,55.7,754.0,5.3,801,48.7,737=,29.9,673.0,Malaysia,4317.0,10.0,0.2,33 : 67,41.888,26.1,16.3,72.8,68.1,65.3,2026.0,Malaysia,551.0,673.0
553,539,Hitotsubashi University,Japan,Asia,M,SP,VH,Public,19.7,627,78.1,112,42.2,473,4.0,801,31.3,573,33.5,553.0,36.1,533.0,11.7,801.0,57.5,290,32.2,801,29.8,1321.0,Japan,6105.0,14.6,0.14,33 : 67,30.025,32.5,21.8,27.6,25.7,64.1,2026.0,Japan,553.0,1321.0
