Name,Country,Region,QS Rank,QS Overall Score,Academic Reputation SCORE,Employer Reputation SCORE,Faculty Student Ratio SCORE,Citations per Faculty SCORE,International Faculty  SCORE,International Student SCORE,International Students Diversity SCORE,International Research Network SCORE,Employment Outcomes SCORE,Sustainability SCORE,THE Rank,THE Overall Score,THE Student Population,THE Student Staff Ratio,THE International Students,THE Female Male Ratio,THE Teaching,THE Research Environment,THE Research Quality,THE Industry Impact,THE International Outlook,Year
tomsk state university,russian federation,Europe,499,32.2,25.3,20,99.3,7,28,94.7,93.2,66.4,7.1,30.6,668,41.943,"7,985",11.7,37%,Unknown,50.5,38.3,27,55.9,74.7,2026
shoolini university of biotechnology and management sciences,india,Asia,503,32.1,16.2,22.5,12.1,82.6,29,2.2,6.4,54.1,1.8,57.3,454,47.9845,"3,676",16.4,1%,50:50:00,27.8,24.1,88.7,25.8,68.7,2026
university of guelph,canada,Americas,504,32,19.9,19.2,7.9,55.2,49.6,24,30.1,74.8,18.2,80.7,446,48.109,"23,314",28.3,11%,59:41:00,34.8,36.7,64.1,80,63.6,2026
institut teknologi sepuluh nopember,indonesia,Asia,509,31.9,27.4,60.2,62.1,2.7,69.6,11.9,17.9,27.6,17,52.5,1665,24.5845,"20,850",6.1,7%,41:59:00,25.9,11.1,28.3,42,47.4,2026
ateneo de manila university,philippines,Asia,511,31.6,32.2,70,33.1,3,3.6,4.3,8.5,24.3,80.4,60.5,1070,34.245,"14,540",10.1,1%,56:44:00,27,11.2,64.7,23.8,35.6,2026
soas university of london,united kingdom,Europe,511,31.6,24.7,19,18.4,23.7,100,99.2,99.2,17.8,35.2,65,477,46.998,"5,395",15,41%,63:37:00,38.7,34.7,59.9,38.9,79.9,2026
university of bradford,united kingdom,Europe,511,31.6,14,11.2,9.3,40.3,75,99.2,99.2,70.5,41.5,70.4,569,44.6865,"11,775",22,47%,56:44:00,21.4,21.4,76.1,58.5,93.3,2026
lebanese university,lebanon,Asia,515,31.5,32.9,55.3,16,3.4,52.2,47.2,44.1,59.9,38.9,45.2,1480,27.523,"44,105",13.6,18%,55:45:00,34.8,14,21.5,22.8,77.8,2026
universitas padjadjaran,indonesia,Asia,515,31.5,29.9,51.7,55.9,2.2,54.3,4.4,9.4,31.8,45.4,59.7,1379,28.941,"32,501",7.6,5%,61:39:00,32.5,13,35.1,27.9,52.5,2026
university of stirling,united kingdom,Europe,517,31.4,16.8,13.1,14.6,38.3,79.5,81.3,83,62.7,22.4,81.2,516,45.8615,"11,725",18.9,34%,59:41:00,24.4,26.3,74.6,45.6,91.1,2026
ural federal university,russian federation,Europe,519,31.3,25.8,24.7,98.2,3.5,8.7,49.3,54.1,91,5.6,54.4,956,36.239,"29,855",15.7,15%,52:48:00,25.7,29.2,44.4,58.3,60.5,2026
university of huddersfield,united kingdom,Europe,524,31.2,17.9,19,9.1,36.3,79.7,91.6,92.2,74.6,2.2,69.1,540,45.4025,"14,200",19.9,31%,58:42:00,25.6,23.9,73.9,51.3,89.3,2026
chiang mai university,thailand,Asia,526,30.9,48.8,30.4,22,8.8,5.5,8.7,13.3,65.8,28.7,67.6,1046,34.6645,"35,691",13.9,4%,61:39:00,29,18.8,51.7,55,39.3,2026
university of hull,united kingdom,Europe,526,30.9,13.2,14.3,15.9,36.9,68.3,95.6,95.9,70.3,29.5,75.4,525,45.7105,"13,250",18.4,35%,55:45:00,27.3,23.8,72.9,57.5,87.8,2026
university of salamanca,spain,Europe,526,30.9,36.9,23.5,36.8,11.8,10.2,25.9,31.9,86.3,33.4,70.8,916,36.9535,"25,749",14.6,16%,61:39:00,32,24.8,47.9,46.6,54.5,2026
university of genoa,italy,Europe,530,30.8,28,10.6,19.8,52.6,9.2,17.5,23.6,83.1,16.6,62.3,410,49.5295,"20,218",16.4,9%,58:42:00,39.4,30.9,74.6,76.2,46.9,2026
king khalid university,saudi arabia,Asia,535,30.6,25.8,17.6,64.6,7,100,35.9,26.9,84.4,2.7,45.7,302,54.269,"29,832",7.1,15%,55:45:00,41.2,31.6,80,58.4,88.2,2026
lebanese american university,lebanon,Asia,535,30.6,20.2,44.6,31.3,10.7,80.6,26.6,31.7,78.3,29.2,58.3,268,55.731,"7,606",12,13%,52:48:00,36.8,32.5,93.7,32,80.8,2026
prince sultan university,saudi arabia,Asia,535,30.6,10.6,12,19.4,61.9,100,23.2,24.7,62.7,15.9,45.7,390,50.1375,"5,837",18,8%,54:46:00,19.2,29.6,92.2,51.8,82.1,2026
university of ljubljana,slovenia,Europe,535,30.6,29.7,18.9,45.6,11,7.1,18.1,13.7,85.7,98.1,54.2,858,37.862,"37,509",12.8,9%,60:40:00,27.8,23.8,56,69.1,42.6,2026
ain shams university,egypt,Africa,542,30.3,35.6,38.8,17.1,3.5,29.5,13.7,19.7,80.8,69.6,56.7,904,37.1545,"1,71,505",14.3,7%,52:48:00,28.6,27.5,50.4,41,53.1,2026
university of the punjab,pakistan,Asia,542,30.3,22.5,57.6,5.7,24.4,4,1.7,6.1,71.8,89.4,44.3,903,37.161,"28,679",21.6,1%,62:38:00,28.4,15.2,64.4,31.5,50.6,2026
university of windsor,canada,Americas,546,30.2,5.1,7.1,2.7,58.2,89.4,94.6,95,49.5,34.4,68.7,536,45.5445,"14,932",35.1,36%,Unknown,30.4,31.4,60.5,68.2,87.9,2026
thammasat university,thailand,Asia,551,29.9,36.7,38.3,27.2,3.9,15.9,2.2,6.9,45.7,90.6,60.7,1477,27.5875,"39,733",14.8,1%,64:36:00,23.5,21,33.8,37.5,39,2026
universiti tenaga nasional,malaysia,Asia,551,29.9,9.5,19.9,76.6,34.1,34.7,70.5,65.6,55.7,5.3,48.7,673,41.888,"4,317",10,20%,33 : 67,26.1,16.3,72.8,68.1,65.3,2026
hitotsubashi university,japan,Asia,553,29.8,19.7,78.1,42.2,4,31.3,33.5,36.1,11.7,57.5,32.2,1321,30.025,"6,105",14.6,14%,33 : 67,32.5,21.8,27.6,25.7,64.1,2026
lahore university of management sciences,pakistan,Asia,555,29.7,21.4,77.3,28.8,16.5,10.8,3.1,7.3,26.2,48.4,45,974,35.971,"4,744",13.6,2%,44:56:00,23.7,20.2,57.4,46.1,54.1,2026
indian institute of technology indore,india,Asia,556,29.6,8,16.9,28.8,96.9,1.8,1.3,5.7,28.2,5.3,34.7,573,44.5425,"2,332",12.5,0%,24 : 76,42.9,28.9,63.9,40.9,36,2026
al ain university,united arab emirates,Asia,558,29.5,25.6,20.8,20.8,17,100,100,74.4,37.1,7.3,42.9,428,48.8045,"2,588",11,61%,51:49:00,28,30.2,78.7,18.6,99.1,2026
coventry university,united kingdom,Europe,558,29.5,16,18.5,21.8,14.8,85.1,99.5,99.5,84.3,18.4,71.2,685,41.677,"30,640",14.6,58%,50:50:00,21.6,15.1,73.5,44.9,94.4,2026
jawaharlal nehru university,india,Asia,558,29.5,39.8,17.4,16.7,37.6,20.1,1.7,6,56.9,20.6,59.3,821,38.5835,"7,759",11.2,1%,42:58:00,46,24.4,48.5,39.5,24.1,2026
university of kwazulu natal,south africa,Africa,558,29.5,17.9,14.4,6.9,44.5,29.1,2.1,6.7,95.9,79.4,63,566,44.7855,"33,675",30.7,2%,62:38:00,31.4,37.9,61.5,49.1,54.9,2026
american university of the middle east,kuwait,Asia,563,29.4,25.9,34.7,28.9,8.9,100,36.9,38.6,67.2,6.1,47.2,614,43.3375,"5,014",11.1,15%,62:38:00,29.1,19.5,71.9,27.7,85.6,2026
university of debrecen,hungary,Europe,563,29.4,27.3,21.5,45.9,7.4,14.4,76.5,78.7,74.9,25.9,70.4,876,37.6635,"20,923",12.2,25%,56:44:00,41.7,18.2,45.7,50.6,58,2026
bangor university,united kingdom,Europe,566,29.3,12.8,10.5,18.9,44.4,38.1,77.4,79.5,74.7,16.9,78,507,46.039,"9,035",15.7,31%,59:41:00,28.3,26,70.3,63.2,87.1,2026
savitribai phule pune university,india,Asia,566,29.3,11.1,20.3,47.1,63.8,20.1,3.3,7.5,54.7,30.4,43,969,36.044,"6,043",12.2,2%,46:54:00,40.9,13.3,56.2,37.1,23.7,2026
university of minho,portugal,Europe,566,29.3,22.2,17.1,28.3,38.6,21.3,26,32,83.6,15.7,67.7,663,42.1055,"21,465",20.8,13%,55:45:00,28,33.6,57.1,82.6,48.9,2026
brno university of technology,czechia,Europe,575,29.1,17.7,36.4,37,13.7,26.7,77.3,79.2,80.7,15.7,61.3,1316,30.113,"17,555",14.5,26%,28 : 72,24.6,17.7,34.5,73.7,59,2026
universiti teknologi brunei,brunei darussalam,Asia,578,29,20.2,13.1,86.5,22.7,100,7.7,11.5,20.7,16.6,34.7,758,39.908,"1,977",7.7,4%,61:39:00,29.9,14,68.5,33.5,68.5,2026
university of iceland,iceland,Europe,582,28.8,9.6,2,99.6,18,32.4,18.1,24.2,75.5,89.3,49.4,521,45.748,"9,343",16,13%,69:31:00,24.6,35.3,69.3,83.1,55.2,2026
charles darwin university,australia,Oceania,584,28.7,7.8,7.3,6.4,65.1,41.8,88.9,88.5,49.7,4.8,70.7,467,47.2335,"7,195",23.9,38%,65:35:00,22.7,29.9,78.9,50.4,82.4,2026
university of dhaka,bangladesh,Asia,584,28.7,30.5,51.3,10.5,6.9,2.2,1.4,1.3,57.8,97,54.2,931,36.7315,"35,843",18.6,0%,44:56:00,17.7,13.3,76.5,33.2,45,2026
national central university,taiwan,Asia,587,28.6,28.9,38.7,26.4,25.6,18.5,18.4,20.4,33.9,18.7,60.6,1158,32.729,"11,391",10.1,7%,37 : 63,31,25.1,30.7,99,41.8,2026
bond university,australia,Oceania,591,28.5,5.9,8.3,52.1,53.8,63.5,90.4,91.2,24.6,11.6,23.5,462,47.509,"3,588",10.2,32%,56:44:00,26.8,21.9,87.3,25.8,80.4,2026
national research nuclear university mephi,russian federation,Europe,591,28.5,10.3,20.9,99.3,11.2,60.6,93.3,93.8,30.2,17.6,23,702,41.4345,"5,352",10.1,28%,49:51:00,49.3,35,29.2,63.4,72.6,2026
zayed university,united arab emirates,Asia,595,28.4,19.8,31.7,34.7,21.8,100,2.8,7.1,48.5,29.3,41.1,497,46.3715,"7,520",13.7,2%,83:17:00,21.8,21.7,85.8,59.5,73.7,2026
hasselt university,belgium,Europe,597,28.3,8.8,5.2,85.7,22.8,78.5,41.1,46.4,69.8,6.6,62.7,345,51.979,"6,128",28.4,16%,50:50:00,35,37.8,72.8,87.8,71.2,2026
taipei medical university,taiwan,Asia,597,28.3,16.9,14.7,94.2,32.3,20,22,16.6,24.7,11.9,48.1,418,49.1855,"6,154",8.8,11%,59:41:00,46.3,32.2,63.6,86.6,48.6,2026
university of szeged,hungary,Europe,597,28.3,26.2,22.7,41.9,8.9,15.4,56.4,60.6,75.3,29,69.4,1170,32.633,"21,326",13.2,19%,56:44:00,31.2,16.4,42.3,48.7,53.8,2026
national chengchi university,taiwan,Asia,604,28.2,28.3,46.9,21.2,3.4,38,36.2,41.1,12.8,93.3,41.4,1295,30.4405,"13,230",15.7,16%,57:43:00,27.1,28.9,25.1,62.5,53.8,2026
university of eastern finland,finland,Europe,604,28.2,18.9,10.3,45,35.3,39.2,12,17.9,84,5.6,71.2,482,46.8675,"12,849",17.1,7%,68:32:00,28.6,31.1,76.6,67.6,49.7,2026
university of siena,italy,Europe,607,28,21.4,7.8,15.3,60.2,4.6,19.7,25.8,61.2,12.3,63.4,371,50.795,"10,480",16.8,9%,63:37:00,39.3,35.1,75,75.5,46.7,2026
nottingham trent university,united kingdom,Europe,609,27.9,16.4,22.9,15.5,10.7,67.1,90.4,91.2,84.8,20.4,77.5,611,43.4215,"36,005",15,25%,54:46:00,20.8,14.1,83.3,38.1,89.1,2026
universiti malaysia pahang al sultan abdullah,malaysia,Asia,609,27.9,17.2,9.9,23.6,57.9,32.1,19,21.1,61.6,5.2,51.4,651,42.326,"7,584",12.4,10%,49:51:00,37.9,23.9,59,52.8,58.7,2026
university of plymouth,united kingdom,Europe,613,27.8,13.8,14.2,15.4,36.7,61.3,61.4,65.1,82.1,13.8,58.6,553,45.1,"16,895",17.8,22%,61:39:00,23,21.2,77.9,65.8,82.2,2026
umm al qura university,saudi arabia,Asia,622,27.6,23.6,15.4,61.3,4.9,100,26.1,19.6,71.3,11.5,36.8,491,46.61,"34,462",13.3,6%,47:53:00,35.4,25.3,75.7,34.5,63.2,2026
diponegoro university,indonesia,Asia,624,27.5,30,53.2,30.5,2.3,46.4,7.1,12,35.5,24.2,51,1559,26.228,"36,538",16.8,4%,66:34:00,32.5,16.8,23,45.4,40.7,2026
national chung hsing university,taiwan,Asia,628,27.4,28.6,30.9,29.4,22.5,12.3,14,19,34.5,42.2,56.3,1259,31.092,"16,156",13,9%,43:57:00,24.6,25.4,35.8,74.6,36.6,2026
university of crete,greece,Europe,628,27.4,19.3,17.8,3.9,69.6,2.7,7.2,12,61.9,4.5,40.6,649,42.3925,"12,551",22.7,5%,64:36:00,24.7,29.1,68.5,66.3,46.2,2026
tallinn university of technology,estonia,Europe,635,27.2,16.2,18.6,33.5,23.5,53.2,26.8,32.8,81.2,50.5,43,672,41.898,"7,451",13.2,12%,40 : 60,26.2,24.9,66,69.2,58.4,2026
university of portsmouth,united kingdom,Europe,635,27.2,10.9,13.1,12,27.8,80.1,90.7,91.4,81.5,13.5,62.6,448,48.0605,"22,370",15.9,36%,48:52:00,22,20.1,88.7,51.1,94.5,2026
southern cross university,australia,Oceania,638,27.1,6,4.3,3.9,55.5,92.7,62.6,66.2,61.1,6.2,65.9,499,46.3175,"8,883",43,22%,69:31:00,24.4,29.9,72.8,66.9,79.1,2026
university of chemistry and technology prague,czechia,Europe,638,27.1,8.2,12.2,99.5,19.2,33.7,85.4,86.7,32,9.4,43.4,1342,29.6165,"4,505",8.8,29%,57:43:00,37.3,14.7,26.9,55,54.4,2026
university of fribourg,switzerland,Europe,642,27,13.6,5.5,14.1,27.3,99.9,52.5,51.2,60.4,49.6,66.8,423,49.03,"6,817",14.8,17%,65:35:00,39.1,33.8,62.4,71.9,81.3,2026
manchester metropolitan university,united kingdom,Europe,643,26.9,18.8,16.4,11.4,16.8,63.1,61.4,65.2,89,19.2,78,620,43.214,"33,935",18.1,22%,58:42:00,20.8,19.5,78.3,42.7,83,2026
university of manitoba,canada,Americas,643,26.9,19.2,20,31.8,22.6,20.1,68.4,71.5,70,39.5,55.7,564,44.8375,"26,170",13.7,24%,54:46:00,29.5,25.1,72.9,61.4,60.4,2026
king faisal university,saudi arabia,Asia,648,26.8,25.3,29.8,24.5,6.3,99.4,11,14.9,66,14.9,54.3,700,41.45,"22,366",10.4,6%,65:35:00,25.6,14.8,73.7,40.4,78.4,2026
university of brescia,italy,Europe,650,26.7,7.3,4.1,8.7,85,2,8.5,14.2,58.8,11.6,63.9,391,50.126,"10,190",24.3,5%,52:48:00,35.4,24.7,88,72,43.2,2026
de la salle university,philippines,Asia,654,26.6,32.7,58.6,9.6,6.8,2.8,3.5,7.8,27.3,60.7,44.1,1822,21.619,"22,790",18.5,2%,51:49:00,18.3,12.6,31.4,24.1,29.1,2026
bar ilan university,israel,Asia,660,26.5,11,14.3,10.4,59.4,54.4,4.9,3.9,53.2,33.1,41.7,715,40.939,"19,887",20.6,4%,58:42:00,33.8,34.8,52.6,65.9,32.8,2026
memorial university of newfoundland,canada,Americas,660,26.5,10.7,10.5,15.7,43.7,30.7,78.5,80.6,73.6,17.4,53.3,527,45.7005,"16,376",15.3,29%,54:46:00,30.3,25.7,65.2,82.1,86.2,2026
comsats university islamabad,pakistan,Asia,664,26.4,17,35.8,17,36.8,1.4,1.6,6,87.3,8.3,62.7,658,42.1595,"33,193",15.8,1%,39 : 61,19.8,16.9,86.2,43.5,50.9,2026
chang gung university,taiwan,Asia,668,26.3,9.3,6.6,74.6,58.2,7.9,9.5,13.2,25.5,2.1,48.8,805,38.972,"7,142",12.4,5%,51:49:00,25.8,35.3,50.2,96.1,29.6,2026
beirut arab university,lebanon,Asia,676,26.1,20,22.2,28.8,7.6,94.8,61.1,56.5,29.6,44.1,42.1,799,39.079,"4,167",10.4,21%,45:55:00,43,17.3,46.3,21.8,88.2,2026
jadavpur university,india,Asia,676,26.1,23.2,10.5,13.7,55.8,20.1,1.1,5.5,44,19.5,61.4,1172,32.5865,"12,547",19,0%,32 : 68,36.6,15.9,45,53.9,20.3,2026
university of haifa,israel,Asia,678,26,17.4,13,15.8,44.8,17.8,6.7,5.2,69.6,29.6,67.4,607,43.555,"16,297",17.5,3%,66:34:00,29.6,31.2,68.6,65,34.6,2026
ritsumeikan university,japan,Asia,680,25.9,25.7,61.5,10.3,5,36.5,17.8,23.9,41.1,4.8,64.4,1617,25.378,"35,919",18,10%,37 : 63,20.7,16.2,28.4,63.4,46.9,2026
university of brawijaya,indonesia,Asia,680,25.9,30.1,55.3,20.4,1.9,35.9,2.7,6.9,27.3,29.1,53.3,1756,23.0455,"47,186",16.1,4%,60:40:00,24.9,13.3,23.7,36.2,43.8,2026
comenius university bratislava,slovakia,Europe,684,25.8,16.8,14.7,61.3,6.9,8.4,39,44.5,68.8,87,43.7,1326,29.9305,"22,226",10.4,17%,65:35:00,29.4,17,37.2,30,52.9,2026
cyprus university of technology,cyprus,Asia,686,25.7,8.1,4.9,49.3,39.8,68.1,42,43.4,46.6,11.3,49.6,555,45.069,"3,377",15.8,15%,58:42:00,28.9,25.6,75.1,36.3,68.5,2026
baku state university,azerbaijan,Asia,688,25.6,22,20.1,94,1.9,13.4,7,11.2,22.1,64.1,43.3,1791,22.4135,"19,165",12.1,5%,60:40:00,30.1,10.1,21.2,21,45.4,2026
tomsk polytechnic university,russian federation,Europe,688,25.6,9.4,15.4,96,7,14.8,88.8,83.9,60.4,2,47.7,967,36.082,"9,179",11,35%,33 : 67,40.9,25.1,29.8,63.5,70.1,2026
eastern mediterranean university,northern cyprus,Asia,691,25.4,9.2,4.5,5.6,31.3,77.1,100,100,51.3,53.6,45.4,763,39.8355,"14,696",23.3,72%,48:52:00,20.2,12.7,77.2,30.9,77.3,2026
universidade federal do rio grande do sul,brazil,Americas,691,25.4,36.8,9.2,20,15.7,3.8,2.4,7,80.5,32.3,63.9,796,39.2215,"40,018",14.4,1%,52:48:00,38.9,23.2,53.6,56.7,35.6,2026
university of klagenfurt,austria,Europe,697,25.1,7.2,5.8,57.4,16.4,98.2,94.8,95.2,43.9,13.6,36.3,637,42.637,"3,377",8.7,33%,66:34:00,34.4,19.6,60.5,49.5,89,2026
kasetsart university,thailand,Asia,701-710,42.6,37.4,37.1,10.3,4.6,7.7,1.7,6.2,46.2,31.2,60.8,1773,22.782,"69,827",17.3,1%,61:39:00,18.8,15.9,27.8,41.5,35,2026
universidad panamericana,mexico,Americas,701-710,42.6,15.9,34.4,81.2,1.7,24.5,5,4,14.3,73.5,36.2,1995,17.935,"17,141",7.6,2%,51:49:00,24.5,9.2,12.5,19.3,46.9,2026
university of zagreb,croatia,Europe,701-710,42.6,23.2,12.8,26.8,8.1,1.9,5.1,10,92.1,98.4,60.9,1269,30.8685,"62,046",15.8,4%,61:39:00,27.6,19.1,41.8,57.5,31.3,2026
asia university taiwan,taiwan,Asia,711-720,42.6,9,2.8,5.1,79.9,14.5,6,10.2,64.2,2.1,36.6,492,46.5825,"10,858",29.9,3%,63:37:00,16.6,34.9,82.8,75.3,49.5,2026
budapest university of technology and economics,hungary,Europe,711-720,42.6,20.8,37.5,18.6,15.3,4.6,22.7,28.8,60,37.8,57.9,1462,27.9025,"18,656",16.3,15%,32 : 68,23,18.4,34.2,65.1,38.9,2026
goldsmiths university of london,united kingdom,Europe,711-720,42.6,18.3,7.5,20.8,17,89.1,97.8,97.9,22.7,25.2,43,575,44.506,"8,195",13.8,48%,69:31:00,28.2,23.5,71.2,48.8,80.8,2026
itmo university,russian federation,Europe,711-720,42.6,12.7,17.4,92.6,11,27.2,44.5,49.7,60.1,3.9,26.6,1018,35.1055,"14,352",17.8,17%,32 : 68,30.4,29.9,33,80.6,57.9,2026
toronto metropolitan university,canada,Americas,711-720,42.6,12.5,19.4,2.3,41,46.5,19.6,25.7,60.9,20.1,66,687,41.628,"37,827",39.8,11%,54:46:00,22.4,32,61.1,69,62,2026
prince sattam bin abdulaziz university,saudi arabia,Asia,721-730,42.6,6.4,3.1,69.3,19.6,99.6,15.5,18.4,93.6,3,36.3,440,48.3705,"24,820",10.8,6%,67:33:00,25.4,28.8,80.8,57.7,79.7,2026
taras shevchenko national university of kyiv,ukraine,Europe,721-730,42.6,21.9,50.1,30.7,3.9,1.7,3.7,8.2,37.6,72,37.9,1803,22.199,"25,696",11.2,5%,56:44:00,25.7,15.4,22.4,28.6,30.5,2026
university of patras,greece,Europe,721-730,42.6,16.8,25.7,4.2,44.3,2.3,9.2,14.3,66.2,4.7,65.3,983,35.7945,"28,311",27.5,6%,51:49:00,18.5,23.6,60,73.2,34.2,2026
uwe bristol,united kingdom,Europe,721-730,42.6,10.6,15.1,8.9,25.2,66.1,88.9,89.9,72.4,4.2,53.3,747,40.228,"30,220",16.4,29%,52:48:00,18.8,14.6,73.3,59.2,81.2,2026
far eastern federal university,russian federation,Europe,731-740,42.6,13.9,9.5,98.7,2.6,16.7,79.3,80.5,48,7.1,37.5,1664,24.59,"18,054",15.6,21%,59:41:00,29.1,18.4,16.4,30.3,60.5,2026
national institute of technology tiruchirappalli,india,Asia,731-740,42.6,4.1,5.3,10.6,89.5,20.1,3.5,7.5,38.2,8.8,37.4,981,35.8125,"7,452",22.2,2%,24 : 76,33.2,22.1,54,43.8,22.1,2026
princess nourah bint abdulrahman university,saudi arabia,Asia,731-740,42.6,18.3,24.1,28.7,7.2,83.8,31.3,35.9,74.6,2.8,49.8,504,46.2145,"20,015",11,12%,100:00:00,29.3,21.8,78.5,33.1,85,2026
aberystwyth university,united kingdom,Europe,741-750,42.6,12.8,11.5,27.6,23.9,61.3,42,45.4,63.3,11,63.1,686,41.66,"6,330",15.1,21%,52:48:00,26.9,22.2,61.9,62.1,83.1,2026
kaunas university of technology,lithuania,Europe,741-750,42.6,15.1,22,37.9,17.5,4.8,40,45.4,68.6,29,58.9,1078,34.082,"7,308",13,11%,34 : 66,25.2,19.9,52.8,46.8,42.2,2026
plekhanov russian university of economics,russian federation,Europe,741-750,42.6,15.5,30.1,57.8,3.3,4.1,26.7,31.7,61.2,55.2,42.4,1737,23.51,"13,681",8.5,14%,55:45:00,26.8,13.3,25,23.3,44.2,2026
university of baghdad,iraq,Asia,741-750,42.6,18.1,41.2,31.1,2.5,2.8,1.2,1.1,69,85.6,43.4,1720,23.7725,"75,593",11.2,0%,60:40:00,28.3,14.8,28.2,29.3,20,2026
university of malta,malta,Europe,741-750,42.6,9.3,7.4,47.7,10.1,33.1,42.2,47.5,76.8,98.1,38.2,926,36.7905,"9,650",11.8,18%,61:39:00,24.9,18.2,61.6,36.8,56.2,2026
university of messina,italy,Europe,741-750,42.6,12.6,2.9,18.6,55.5,1.4,17.8,23.9,78.6,1.6,61.5,538,45.508,"14,308",22.7,6%,63:37:00,35.6,28.1,71.8,64.3,36.6,2026
victoria university,australia,Oceania,741-750,42.6,9.2,10.1,3.4,48.7,23.6,74.6,77.1,48.9,9.7,59.3,597,43.867,"14,540",29.4,25%,59:41:00,22.9,24.7,74.5,55.9,71.5,2026
vytautas magnus university,lithuania,Europe,741-750,42.6,14,19.9,44.2,5,46.8,70.8,73.5,62.8,26.8,47,1467,27.863,"8,381",10.6,19%,71:29:00,23.7,12.9,36.9,21.2,69.5,2026
university of trieste,italy,Europe,751-760,42.6,16.1,7.8,5.5,53.8,11.6,16.8,22.9,70.8,18.7,36.4,509,45.993,"18,016",24.3,8%,58:42:00,34.3,27.7,72.4,57.6,50.9,2026
al ahliyya amman university,jordan,Asia,761-770,42.6,17.1,21,15.8,6.4,93.7,100,98,32.7,6,38.2,441,48.361,"4,510",14.8,64%,52:48:00,18.6,24.7,88,56.9,93.8,2026
bangladesh university of engineering and technology,bangladesh,Asia,761-770,42.6,21.3,42.5,15.6,30.8,20.1,19.4,21.7,23,29.9,30,1032,34.891,"5,814",11.3,0%,0.970833333,23.1,15.2,65.4,38.4,33.5,2026
government college university faisalabad,pakistan,Asia,761-770,42.6,4.2,7.1,7.6,72.2,1.3,1.1,5.5,77.6,33.5,32.2,750,40.1685,"22,898",26.6,0%,55:45:00,20.3,17.7,81.4,22.3,49.8,2026
kaohsiung medical university,taiwan,Asia,761-770,42.6,8.4,6,46.9,58.6,11.2,7.4,11.1,26.1,4.1,51.7,866,37.779,"6,621",12.6,5%,59:41:00,26.6,34.3,46.9,89,31.4,2026
riga technical university,latvia,Europe,761-770,42.6,12.6,31.9,31.7,6,22.1,84.9,86.3,38.2,40.5,47.6,1174,32.5725,"10,472",31.7,33%,35 : 65,27.1,25.3,33.6,56.4,65.4,2026
university of belgrade,serbia,Europe,761-770,42.6,23.6,14,6.5,10.1,3.6,7.4,5.8,94.5,98.4,52.1,1069,34.25,"91,512",18.1,5%,61:39:00,22.6,27.3,50.9,31.9,41.6,2026
university of bucharest,romania,Europe,761-770,42.6,21.1,35.9,9,8.3,3.5,4.8,10,72.3,67.9,60.8,1066,34.2785,"31,127",32.1,2%,70:30:00,21.6,24.1,58.4,27,30.9,2026
university of nizwa,oman,Asia,761-770,42.6,11,12.8,47.5,13,100,26.2,27,26.1,73.5,19,500,46.2745,"3,498",8.9,11%,77:23:00,28.1,26,76.2,34,83,2026
holy spirit university of kaslik,lebanon,Asia,771-780,42.6,11.1,20.7,70.4,3.8,99.4,52.2,53.4,9.6,7.3,38,1454,28.0085,"7,374",13,14%,55:45:00,23,9.9,38.5,19.5,80.3,2026
rovira i virgili university,spain,Europe,771-780,42.6,9.5,4.5,19.9,48,9.8,28.4,34.4,82.2,1.8,65,714,40.968,"14,226",13.2,12%,60:40:00,28.2,25.1,62.5,57.5,57.6,2026
thapar institute of engineering and technology,india,Asia,771-780,42.6,4,9.3,14.3,71.2,17.1,4.7,8.7,33.7,11.6,58.5,692,41.571,"7,763",15,4%,35 : 65,33.3,17.6,72.5,38.9,44.5,2026
alexandria university,egypt,Africa,781-790,42.6,32.7,24.2,7.2,3.5,1.9,13.6,19,80.7,33,56.6,980,35.8275,"1,86,461",17.6,7%,53:47:00,20.7,18.2,63.5,31.7,55,2026
carleton university,canada,Americas,781-790,42.6,15.6,16.8,7.3,18.6,17.6,56.9,42.4,74.9,43.1,61.1,580,44.331,"27,612",27,22%,49:51:00,23.4,31.5,64.9,79.2,75.4,2026
kuwait university,kuwait,Asia,781-790,42.6,20.9,17.5,9.4,5.5,24.1,32,37.8,55.1,97.1,58.3,1287,30.565,"29,943",18.3,13%,73:27:00,18,11.4,53.7,33.1,60.2,2026
university of mons,belgium,Europe,781-790,42.6,7,8.1,5.2,53.2,40.9,47,50.6,43.6,7.3,54.4,648,42.441,"8,374",26.7,17%,56:44:00,27.2,30.9,58.4,66.4,70.4,2026
v.n. karazin kharkiv national university,ukraine,Europe,781-790,42.6,14.3,30.2,70.5,1.9,4.4,67.8,69,35.2,4.6,46.2,1908,19.6645,"17,491",8.3,27%,51:49:00,26.8,11.2,12.1,35.2,46.3,2026
chiba university,japan,Asia,791-800,42.6,22.5,12.5,65.8,17.8,11.3,7.9,12.1,30.2,6.2,48.7,1055,34.54,"13,630",8.6,5%,38 : 62,33.7,21.1,43.7,70.3,34.1,2026
norwegian university of life sciences,norway,Europe,791-800,42.6,8.2,8.2,100,13.4,20.1,19.4,21.7,77.7,25.5,50.8,863,37.8205,"8,193",8.4,7%,57:43:00,32,15.4,58.4,40.8,63.5,2026
universiti tunku abdul rahman,malaysia,Asia,791-800,42.6,19.4,43.9,19.2,13.4,15.8,8,11.9,51.7,5.1,57.7,1132,33.188,"15,730",12.9,13%,52:48:00,20.8,17.8,51.5,63.5,52,2026
