University,Country,global_ranking_score,research_impact_score,faculty_to_student_ratio,international_student_percentage,academic_reputation_score,research_productivity_index
University of Parma,Italy,46.59,47.5,0.03,9.0,13.6,44.6
University of Regina,Canada,42.88,41.4,0.04,34.0,4.7,39.98
University of Rhode Island,United States of America,44.59,39.42,0.06,3.0,7.2,36.84
University of Salento,Italy,43.96,49.05,0.04,3.0,6.8,47.54
University of Tabuk,Saudi Arabia,46.34,33.55,0.1,3.0,8.8,28.18
University of the Free State,South Africa,37.33,44.28,0.03,2.0,7.2,38.18
University of Toledo,United States of America,46.13,36.83,0.06,10.0,4.2,35.22
University of Warmia and Mazury in Olsztyn,Poland,27.03,26.95,0.06,3.0,10.8,23.1
University of Wolverhampton,United Kingdom,42.07,36.38,0.06,28.0,3.1,32.08
University of Wyoming,United States of America,43.85,38.53,0.08,5.0,3.6,36.74
University of Zilina,Slovakia,33.53,24.75,0.07,7.0,6.3,22.58
William & Mary,United States of America,45.6,32.65,0.08,6.0,10.0,29.36
Yerevan State University,Armenia,18.25,11.15,0.14,3.0,8.7,9.3
Yokohama City University,Japan,40.44,26.7,0.19,3.0,3.3,25.16
Yokohama National University,Japan,29.77,20.85,0.08,8.0,11.6,18.94
Yuan Ze University,Taiwan,47.17,37.1,0.05,11.0,8.6,33.62
Al-Balqa Applied University,Jordan,30.9,33.35,0.04,3.0,10.2,27.84
Bahauddin Zakariya University,Pakistan,39.1,43.55,0.05,0.0,8.5,40.9
Benemérita Universidad Autónoma de Puebla,Mexico,10.53,13.82,0.04,1.0,19.9,11.64
Beni-Suef University,Egypt,31.91,33.33,0.02,1.0,8.7,28.88
BRAC University,Bangladesh,32.7,30.58,0.05,1.0,14.9,25.18
Brock University,Canada,26.82,28.05,0.05,19.0,6.7,25.76
Canterbury Christ Church University,United Kingdom,25.99,22.12,0.03,55.0,6.8,19.06
Chitkara University,India,40.65,38.78,0.07,3.0,10.0,32.1
Delta University for Science & Technology,Egypt,34.01,25.25,0.05,1.0,26.2,21.22
Doshisha University,Japan,9.49,11.18,0.06,4.0,11.1,9.44
Feng Chia University,Taiwan,16.61,16.05,0.04,6.0,12.3,15.18
Fu Jen Catholic University,Taiwan,25.05,20.08,0.04,5.0,10.6,19.04
Galgotias University,India,28.73,23.8,0.07,3.0,16.6,19.68
Gunma University,Japan,18.02,14.28,0.14,5.0,3.8,13.22
Helwan University,Egypt,21.84,29.58,0.04,1.0,11.0,24.18
International Islamic University Islamabad (IIU),Pakistan,36.38,40.45,0.05,5.0,9.3,35.46
Islamic University of Madinah,Saudi Arabia,33.69,21.42,0.04,77.0,8.1,17.74
Ivan Franko National University of Lviv,Ukraine,8.96,9.4,0.08,1.0,9.6,7.86
Jahangirnagar University,Bangladesh,35.48,33.05,0.06,0.0,12.2,28.3
Jeju National University,Republic of Korea,25.28,23.92,0.07,4.0,5.1,21.84
Kagoshima University,Japan,16.82,16.92,0.1,2.0,7.8,14.76
Kharkiv National University of Radio Electronics,Ukraine,14.06,13.52,0.09,6.0,3.2,11.26
King Mongkut's University of Technology North Bangkok,Thailand,28.0,27.4,0.04,1.0,13.4,23.38
Kwame Nkrumah University of Science and Technology,Ghana,27.53,34.93,0.02,1.0,10.2,28.72
Kyoto Institute of Technology,Japan,16.36,16.45,0.07,6.0,8.0,16.9
Latvia University of Life Sciences and Technologies,Latvia,12.95,16.42,0.07,8.0,7.5,14.72
Meiji University,Japan,8.23,9.22,0.05,5.0,9.4,7.88
Nagoya Institute of Technology (NIT),Japan,20.94,23.88,0.06,4.0,9.5,24.82
National Chin-Yi University of Technology,Taiwan,19.38,20.6,0.04,12.0,13.0,19.06
National Dong Hwa University,Taiwan,23.2,18.35,0.05,10.0,16.3,16.42
National Taiwan Ocean University,Taiwan,23.78,23.4,0.06,8.0,7.7,22.42
New Mexico State University,United States of America,40.21,37.65,0.06,6.0,6.6,34.38
Novosibirsk State Technical University,Russian Federation,10.81,10.4,0.06,20.0,5.7,8.88
Pondicherry University,India,27.67,31.52,0.05,0.0,5.1,31.9
Portland State University,United States of America,34.47,34.8,0.05,6.0,4.9,30.98
Pukyong National University,Republic of Korea,27.42,26.0,0.06,8.0,9.4,23.52
Riphah International University,Pakistan,33.25,34.95,0.08,0.0,13.8,29.24
Samara National Research University (Samara University),Russian Federation,14.03,13.25,0.1,10.0,4.0,11.24
Sathyabama Institute of Science and Technology,India,26.52,24.55,0.08,4.0,11.0,21.52
Shinshu University,Japan,23.76,24.08,0.09,3.0,4.7,23.3
Shiv Nadar University,India,23.89,20.75,0.11,2.0,7.5,20.76
Slovak University of Agriculture in Nitra,Slovakia,24.65,24.32,0.08,5.0,8.9,22.56
Suranaree University of Technology,Thailand,22.79,23.78,0.04,1.0,10.2,22.36
Taibah University,Saudi Arabia,30.25,29.25,0.05,2.0,9.2,24.88
Tamkang University,Taiwan,20.6,22.02,0.05,7.0,7.8,19.82
Tanta University,Egypt,31.06,38.28,0.05,1.0,7.7,31.42
Technical University of Cluj-Napoca,Romania,17.76,26.25,0.05,3.0,5.8,22.64
Technical University of Liberec,Czechia,16.06,18.75,0.09,10.0,5.6,16.86
Tecnológico de Costa Rica (TEC),Costa Rica,9.68,9.12,0.08,2.0,11.2,7.72
"The University of Notre Dame, Australia",Australia,36.54,24.05,0.07,5.0,3.4,21.28
Tishk International University,Iraq,33.87,32.1,0.06,1.0,13.4,28.04
Tokai University,Japan,22.67,23.48,0.06,5.0,12.8,19.86
Tokushima University,Japan,23.69,19.08,0.11,2.0,5.4,17.3
Tomas Bata University in Zlin,Czechia,25.81,25.28,0.05,12.0,6.1,22.44
Tunghai University,Taiwan,21.87,24.38,0.05,9.0,10.1,22.12
Universidad Autónoma de Nuevo León (UANL),Mexico,8.48,17.18,0.02,0.0,20.9,14.32
Universidad Autónoma del Estado de Hidalgo,Mexico,7.33,8.6,0.07,1.0,3.6,7.26
Universidad Autónoma del Estado de México,Mexico,8.27,8.88,0.1,1.0,23.0,7.5
Universidad Cientifica del Sur,Peru,10.35,10.02,0.1,1.0,6.1,8.36
Universidad del Desarrollo,Chile,22.95,20.4,0.06,4.0,11.8,17.12
Universidad Industrial de Santander,Colombia,9.52,11.92,0.04,1.0,12.7,10.22
Universidad Nacional de Asunción,Paraguay,14.61,12.2,0.11,1.0,7.6,10.0
Universidad Nacional del Litoral,Argentina,8.64,14.35,0.03,1.0,18.1,12.3
Universidad Peruana de Ciencias Aplicadas (UPC),Peru,7.14,8.48,0.03,2.0,17.8,7.06
Universidade do Estado do Rio de Janeiro (UERJ),Brazil,17.26,22.2,0.08,0.0,13.2,18.56
Universidade Federal da Bahia,Brazil,19.06,24.75,0.05,1.0,13.5,20.94
Universidade Federal de Pernambuco (UFPE),Brazil,23.23,27.5,0.08,0.0,16.0,23.52
Universitas Muhammadiyah Yogyakarta (UMY),Indonesia,12.72,11.95,0.04,2.0,10.9,10.0
Universitas Negeri Yogyakarta,Indonesia,21.75,17.72,0.06,2.0,17.4,14.58
Universitas Pendidikan Indonesia,Indonesia,15.55,16.58,0.06,2.0,17.4,13.7
Université de Poitiers,France,26.18,33.62,0.06,13.0,11.1,28.6
Universiti Kuala Lumpur (UniKL),Malaysia,13.39,13.85,0.08,3.0,9.9,11.9
Universiti Malaysia Kelantan,Malaysia,19.22,21.6,0.05,8.0,9.5,19.4
Universiti Teknikal Malaysia Melaka (UTeM),Malaysia,18.73,21.2,0.08,6.0,10.3,19.24
University of Babylon,Iraq,17.24,20.68,0.08,1.0,7.7,17.28
University of Basrah,Iraq,7.37,14.88,0.04,0.0,9.1,12.34
University of Derby,United Kingdom,38.89,35.45,0.07,26.0,5.4,30.54
University of International Business and Economics,China (Mainland),44.88,30.72,0.07,12.0,3.3,26.26
University of Kerbala,Iraq,9.95,10.22,0.08,0.0,12.8,8.58
University of Kufa,Iraq,17.1,18.88,0.08,0.0,7.4,15.52
University of Memphis,United States of America,33.5,30.92,0.07,10.0,4.1,27.52
University of Miskolc,Hungary,14.88,16.27,0.06,9.0,9.0,13.96
University of Mosul,Iraq,9.63,14.82,0.07,0.0,7.3,12.2
University of Novi Sad,Serbia,18.48,33.33,0.07,7.0,12.5,28.04
University of Ostrava,Czechia,19.49,21.05,0.06,12.0,8.0,18.02
University of Pannonia,Hungary,19.1,29.5,0.05,6.0,6.1,26.58
University of Pardubice,Czechia,16.04,20.85,0.07,9.0,5.2,17.84
University of Peradeniya,Sri Lanka,24.45,28.0,0.04,0.0,10.4,23.14
University of Petra,Jordan,35.65,26.15,0.06,18.0,8.8,22.16
University of Primorska,Slovenia,17.95,24.05,0.07,23.0,3.6,20.9
University of Rajshahi,Bangladesh,33.36,29.2,0.06,0.0,13.2,24.64
University of Rijeka,Croatia,19.03,27.4,0.06,5.0,7.3,23.66
University of Sarajevo,Bosnia and Herzegovina,13.46,19.77,0.08,3.0,5.0,16.4
University of Silesia in Katowice,Poland,19.17,27.25,0.09,5.0,8.6,22.94
University of Split,Croatia,22.9,29.67,0.07,3.0,7.6,25.5
Zagazig University,Egypt,33.78,39.32,0.05,3.0,11.3,32.48
Aoyama Gakuin University,Japan,1.11,8.05,0.06,5.0,7.1,6.94
Aswan University,Egypt,22.74,34.28,0.03,0.0,7.1,28.7
Benha University,Egypt,21.57,34.53,0.03,1.0,6.2,28.46
Central Michigan University,United States of America,24.56,25.95,0.05,10.0,3.6,23.0
Chaoyang University of Technology,Taiwan,18.99,24.0,0.03,6.0,5.0,20.88
Chittagong University of Engineering and Technology,Bangladesh,20.81,24.78,0.06,0.0,10.0,22.24
East West University,Bangladesh,8.13,16.18,0.04,0.0,8.8,13.84
Escuela Politécnica Nacional,Ecuador,7.1,14.77,0.07,2.0,10.2,12.96
Herzen State Pedagogical University of Russia,Russian Federation,2.51,8.9,0.06,21.0,3.8,7.42
Islamic University of Indonesia (Universitas Islam Indonesia),Indonesia,4.56,13.18,0.03,3.0,17.5,11.18
Kazan National Research Technological University,Russian Federation,3.0,8.1,0.08,16.0,5.3,6.88
Khulna University,Bangladesh,15.62,22.5,0.07,0.0,8.6,19.72
Khulna University of Engineering and Technology,Bangladesh,24.72,28.32,0.06,0.0,7.3,25.34
Kindai University (previously Kinki University),Japan,19.63,26.48,0.04,2.0,5.3,22.9
Lublin University of Technology,Poland,13.5,17.42,0.09,13.0,6.9,15.72
Mahasarakham University,Thailand,5.21,11.85,0.03,3.0,18.5,10.0
Manav Rachna International Institute of Research and Studies (MRIIRS),India,13.89,13.85,0.09,2.0,5.9,11.82
Mapua University,Philippines,6.34,15.23,0.04,2.0,9.7,14.04
Naresuan University,Thailand,7.21,12.28,0.06,1.0,10.9,10.42
National Taipei University,Taiwan,6.66,10.8,0.06,6.0,12.4,9.52
Nile University,Egypt,8.82,16.18,0.05,1.0,8.6,14.42
Perm State University,Russian Federation,0.67,7.0,0.07,9.0,4.0,6.02
Rikkyo University,Japan,13.23,16.47,0.07,5.0,5.5,13.78
Shanghai Normal University,China (Mainland),25.21,26.22,0.07,2.0,4.4,22.88
Silpakorn University,Thailand,7.05,16.6,0.05,2.0,10.4,14.18
Suez Canal University,Egypt,20.65,30.7,0.07,2.0,6.1,25.44
Tashkent University of Information Technologies,Uzbekistan,13.06,15.98,0.05,0.0,10.7,13.12
Universidad Autónoma de Chile,Chile,11.8,24.58,0.04,1.0,7.9,20.9
Universidad Nacional Agraria la Molina,Peru,2.86,8.62,0.11,1.0,9.3,7.46
Universitas Andalas,Indonesia,6.36,10.5,0.06,2.0,13.4,8.7
Universitas Negeri Padang,Indonesia,13.55,17.15,0.05,1.0,10.5,13.98
Universitas Syiah Kuala,Indonesia,12.19,21.4,0.06,0.0,8.6,17.84
Universiti Sultan Zainal Abidin,Malaysia,25.14,26.48,0.07,7.0,8.0,22.26
University of Moratuwa,Sri Lanka,9.93,20.88,0.05,0.0,6.0,19.82
University of Oradea,Romania,8.32,21.95,0.05,5.0,7.5,18.36
University of Sri Jayewardenepura,Sri Lanka,7.44,20.42,0.04,0.0,8.0,17.74
University of Tripoli,Libya,21.13,27.18,0.05,2.0,6.8,22.0
University of West Bohemia,Czechia,13.76,25.55,0.07,6.0,7.2,22.02
Voronezh State University,Russian Federation,1.77,7.98,0.08,14.0,5.7,6.7
Walailak University,Thailand,21.38,27.22,0.07,2.0,8.3,22.9
Yamaguchi University,Japan,11.22,15.45,0.09,5.0,4.4,14.0
The University of Melbourne,Australia,98.53,88.75,0.04,51.0,99.7,89.96
King's College London (KCL),United Kingdom,98.08,84.05,0.08,52.0,96.2,81.28
The University of Manchester,United Kingdom,97.52,78.62,0.07,46.0,98.6,74.26
The University of Amsterdam,Netherlands,96.74,85.62,0.08,39.0,92.5,85.94
The University of Sheffield,United Kingdom,94.22,75.65,0.07,41.0,73.0,74.2
The University of Nottingham,United Kingdom,93.23,69.15,0.06,28.0,75.4,65.04
"University of North Carolina, Chapel Hill",United States of America,93.26,72.08,0.12,10.0,72.2,67.24
King Abdul Aziz University (KAU),Saudi Arabia,85.04,63.2,0.08,5.0,67.5,60.12
Indian Institute of Technology Madras (IITM),India,68.88,51.4,0.07,1.0,56.8,59.16
University Complutense Madrid,Spain,81.74,49.4,0.1,16.0,78.5,42.08
Queen's University Belfast,United Kingdom,88.34,70.52,0.06,49.0,49.6,67.92
The University of Newcastle,Australia,85.29,74.68,0.03,20.0,36.0,78.78
University of Padova,Italy,86.16,67.72,0.03,11.0,73.5,65.06
Universitat Pompeu Fabra,Spain,86.24,69.8,0.05,17.0,43.7,69.96
Xi'an Jiaotong University,China (Mainland),83.91,76.5,0.06,6.0,28.5,80.76
Rutgers University – New Brunswick,United States of America,80.93,50.4,0.09,16.0,47.7,43.62
The American University in Cairo,Egypt,68.13,34.65,0.1,8.0,40.8,30.16
Northeastern University,United States of America,80.7,55.72,0.06,40.0,28.0,51.32
Ruhr-Universität Bochum,Germany,79.71,68.62,0.03,20.0,29.1,68.06
Université de Montpellier,France,75.42,68.47,0.05,15.0,26.7,69.24
Leibniz Universität Hannover,Germany,75.88,55.05,0.03,16.0,29.6,50.78
Università Vita-Salute San Raffaele,Italy,77.67,66.95,0.04,6.0,4.8,73.46
Laval University,Canada,73.79,53.15,0.07,18.0,25.3,48.48
Johannes Kepler University Linz,Austria,73.51,44.65,0.05,23.0,17.5,40.76
University of Science and Technology Beijing,China (Mainland),55.29,58.82,0.06,3.0,16.4,66.9
University of Milano-Bicocca,Italy,70.17,62.9,0.04,5.0,28.6,61.52
University of Hawaii at Mañoa,United States of America,73.65,63.25,0.08,10.0,21.3,60.96
Universidad Adolfo Ibáñez,Chile,46.95,26.3,0.05,5.0,28.7,22.86
Université Claude Bernard Lyon 1,France,63.38,58.42,0.06,13.0,26.1,57.34
University of New Brunswick,Canada,61.58,44.7,0.08,22.0,7.1,43.98
Ca' Foscari University of Venice,Italy,64.16,45.03,0.05,13.0,27.1,40.16
Birla Institute of Technology and Science,India,57.35,42.22,0.07,3.0,18.0,41.64
Palacký University in Olomouc,Czechia,51.8,43.2,0.07,13.0,21.5,37.5
National University of Science and Technology MISiS,Russian Federation,54.61,32.25,0.08,19.0,7.2,30.0
Babes-Bolyai University,Romania,42.63,39.65,0.05,5.0,21.9,33.32
Czech University of Life Sciences in Prague,Czechia,55.25,47.53,0.06,29.0,11.6,42.48
University of Maynooth,Ireland,59.85,42.3,0.04,15.0,16.6,38.04
Technological University of Dublin,Ireland,43.23,30.82,0.06,22.0,17.7,25.88
Universidad del Rosario,Colombia,35.53,21.02,0.08,4.0,23.8,17.7
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,24.7,13.02,0.09,2.0,18.4,10.84
Universidad de San Francisco de Quito,Ecuador,40.21,23.25,0.11,4.0,25.0,19.52
Zurich University of Applied Sciences (ZHAW),Switzerland,47.51,29.05,0.08,12.0,7.2,24.24
Catania University,Italy,56.97,52.75,0.05,5.0,17.5,49.38
Universidad Anahuac,Mexico,21.83,5.98,0.11,4.0,18.0,5.06
Wroclaw University of Science and Technology (WUST),Poland,36.67,33.78,0.06,6.0,15.0,29.18
King Mongkut's University of Technology Thonburi,Thailand,45.32,35.65,0.05,4.0,20.8,32.06
University at Albany SUNY,United States of America,53.82,50.32,0.06,7.0,10.1,49.08
Escuela Superior Politécnica del Litoral - ESPOL,Ecuador,29.39,19.47,0.11,1.0,22.7,16.58
The Robert Gordon University,United Kingdom,47.02,32.35,0.05,33.0,4.0,28.16
Universidad Autónoma Metropolitana (UAM),Mexico,24.85,23.85,0.02,1.0,32.5,19.94
Universidad EAFIT,Colombia,20.43,11.1,0.05,2.0,19.4,9.7
University of Ha'il,Saudi Arabia,48.42,38.75,0.09,5.0,8.7,32.0
Binghamton University SUNY,United States of America,46.82,31.83,0.05,9.0,10.1,29.36
MATE Hungarian University of Agriculture and Life Sciences,Hungary,36.2,30.35,0.09,16.0,7.1,25.72
National University Lviv Polytechnic,Ukraine,21.71,16.02,0.08,1.0,9.6,13.34
Northern Borders University,Saudi Arabia,43.32,24.5,0.12,2.0,13.4,20.5
Poznan University of Life Sciences,Poland,29.86,26.52,0.13,8.0,6.6,24.18
Sebelas Maret University,Indonesia,36.61,22.25,0.06,3.0,21.2,18.3
Southwest University,China (Mainland),57.58,54.12,0.07,4.0,3.2,52.32
Technical University of Ostrava,Czechia,35.46,31.65,0.06,15.0,7.7,27.38
Universidad Austral de Chile,Chile,25.02,26.62,0.05,1.0,19.3,24.16
Universidad Diego Portales,Chile,34.22,28.05,0.06,3.0,19.0,23.54
Universidad ICESI,Colombia,34.7,19.72,0.08,3.0,7.8,16.26
Universidad Técnica Federico Santa María,Chile,24.42,25.12,0.04,2.0,13.3,21.76
University of Texas Arlington,United States of America,46.36,39.83,0.03,16.0,7.0,35.14
University of Texas at San Antonio,United States of America,48.06,47.4,0.04,3.0,6.7,44.04
Xi'an Jiaotong-Liverpool University,China (Mainland),46.94,36.7,0.05,3.0,5.9,31.76
British University in Egypt,Egypt,23.5,22.02,0.05,4.0,8.4,18.54
Odessa I.I.Mechnikov National University,Ukraine,8.57,8.02,0.13,3.0,3.9,6.74
"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,12.05,22.75,0.04,13.0,6.5,20.2
The Russian Presidential Academy of National Economy and Public Administration,Russian Federation,16.47,16.7,0.06,4.0,5.6,13.6
The University of Northampton,United Kingdom,21.98,18.15,0.05,46.0,3.4,15.4
UCAM Universidad Católica San Antonio de Murcia,Spain,22.74,21.18,0.05,18.0,9.6,18.44
Universidad Nacional Costa Rica,Costa Rica,9.45,9.57,0.1,3.0,13.5,8.1
Université Ibn Tofail,Morocco,28.69,27.65,0.01,3.0,14.6,24.52
Université Jean Moulin Lyon 3,France,12.28,11.45,0.03,21.0,11.2,10.02
Université Paris-Nanterre,France,19.7,26.9,0.05,16.0,14.6,22.32
University of Texas El Paso,United States of America,33.02,38.75,0.05,6.0,6.8,35.3
University POLITEHNICA of Bucharest,Romania,14.15,29.05,0.04,1.0,6.3,26.16
West University of Timisoara,Romania,22.17,23.08,0.05,6.0,13.7,19.56
American International University-Bangladesh (AIUB),Bangladesh,16.27,20.15,0.05,2.0,8.3,17.0
Atma Jaya Catholic University Indonesia,Indonesia,5.71,10.4,0.06,7.0,11.1,8.72
State University Malang (Universitas Negeri Malang),Indonesia,10.41,15.48,0.04,4.0,10.5,12.96
University of Chicago,United States of America,99.25,88.18,0.17,39.0,99.8,86.16
The University of Auckland,New Zealand,94.1,75.1,0.04,33.0,91.7,75.9
The University of Warwick,United Kingdom,94.58,68.08,0.08,44.0,82.7,63.18
Universidad de Chile,Chile,69.5,41.48,0.06,3.0,91.9,36.82
Université Paris 1 Panthéon-Sorbonne,France,71.76,36.9,0.03,21.0,78.0,30.48
Universidad Carlos III de Madrid,Spain,68.29,35.82,0.09,18.0,45.2,30.28
University of Jordan,Jordan,73.76,40.8,0.08,26.0,47.9,34.1
Pontificia Universidad Católica del Perú (PUCP),Peru,48.87,22.1,0.16,1.0,63.1,18.14
National University of Sciences And Technology (NUST) Islamabad,Pakistan,72.57,52.0,0.08,5.0,29.3,48.06
University at Buffalo SUNY,United States of America,78.11,59.25,0.06,16.0,26.3,58.0
Johannes Gutenberg Universität Mainz,Germany,76.04,53.92,0.09,11.0,32.5,46.76
Université de Bordeaux,France,71.54,54.55,0.05,15.0,43.2,49.26
Universidad de Costa Rica,Costa Rica,42.42,23.18,0.07,2.0,46.4,19.04
The University of Georgia,United States of America,72.3,55.92,0.06,7.0,27.9,51.34
Universiti Teknologi MARA - UiTM,Malaysia,43.54,32.72,0.06,2.0,44.5,27.3
Universität Ulm,Germany,74.01,56.42,0.06,14.0,10.9,53.9
University of Ulster,United Kingdom,63.33,44.75,0.04,29.0,12.6,39.6
Universidad de Concepción,Chile,46.37,33.85,0.06,2.0,36.8,29.54
Universidad de Zaragoza,Spain,53.52,43.32,0.09,8.0,29.7,37.78
Paris Lodron University of Salzburg,Austria,59.79,36.08,0.12,40.0,13.3,31.18
Kazakh National Agrarian University,Kazakhstan,28.97,8.32,0.09,6.0,22.8,6.94
Universidad de Alcalá,Spain,53.09,40.38,0.1,22.0,13.8,34.46
Université de Rennes 1,France,56.51,49.25,0.05,12.0,21.3,46.74
Université de Tunis El Manar,Tunisia,54.71,37.95,0.12,10.0,15.8,32.2
Adam Mickiewicz University,Poland,47.81,43.75,0.04,7.0,24.1,36.76
Universidad de Alicante,Spain,47.17,40.65,0.07,9.0,21.1,35.36
Universidad de Antioquia,Colombia,39.63,30.6,0.05,0.0,39.7,25.9
Applied Science Private University - Jordan,Jordan,60.38,40.52,0.08,26.0,16.4,33.9
Pontificia Universidad Católica de Valparaíso,Chile,34.44,26.78,0.04,2.0,36.4,24.06
Gdansk University of Technology,Poland,46.73,42.45,0.05,7.0,12.0,39.06
Universität Duisburg-Essen,Germany,64.26,55.78,0.03,20.0,16.1,47.68
University of Wroclaw,Poland,42.26,32.45,0.07,8.0,20.6,27.34
Imam Muhammad Ibn Saud Islamic University - IMSIU,Saudi Arabia,55.54,36.55,0.09,15.0,16.7,29.72
Al Jouf University,Saudi Arabia,51.06,38.45,0.1,2.0,12.6,32.16
Universidad de Oviedo,Spain,42.95,38.35,0.11,7.0,18.2,33.0
Universidad de Valladolid,Spain,36.27,37.35,0.08,8.0,16.1,31.3
University of Alabama,United States of America,47.81,40.08,0.05,3.0,12.1,35.82
Lodz University,Poland,29.99,33.43,0.07,10.0,15.4,28.12
Universidad Espíritu Santo (UEES),Ecuador,50.43,27.65,0.09,24.0,6.1,24.36
Riga Stradins University,Latvia,30.67,18.83,0.04,35.0,7.4,15.74
Universidad Andrés Bello - UNAB,Chile,24.86,28.3,0.06,3.0,19.5,23.42
Universidad de Castilla-La Mancha,Spain,38.87,39.75,0.07,10.0,10.7,35.38
Universidad de Guadalajara (UDG),Mexico,16.57,18.3,0.05,0.0,26.5,14.96
Universidad de Talca,Chile,26.59,26.48,0.08,2.0,14.4,23.82
Universitat Jaume I,Spain,39.63,37.95,0.07,11.0,7.7,36.04
Université de Sfax,Tunisia,33.59,29.7,0.1,4.0,11.4,24.98
University of Malaysia Sabah (UMS),Malaysia,24.06,19.92,0.1,4.0,22.0,17.18
University of the Algarve,Portugal,39.82,42.7,0.07,19.0,7.2,39.82
University of Tulsa,United States of America,51.82,31.35,0.1,14.0,2.8,28.1
Warsaw University of Life Sciences,Poland,28.71,34.08,0.08,8.0,8.0,30.18
"Ahmadu Bello University, Zaria",Nigeria,29.15,28.8,0.06,0.0,6.3,23.48
King Mongkut's Institute of Technology Ladkrabang,Thailand,21.15,19.05,0.04,3.0,13.5,16.46
Saint-Petersburg Electrotechnical University LETI,Russian Federation,14.91,13.45,0.07,19.0,4.8,11.36
Transilvania University of Brasov,Romania,22.19,34.45,0.04,2.0,9.0,28.98
Universidad de la Frontera (UFRO),Chile,23.16,30.68,0.05,1.0,14.4,28.38
Universidad de Valparaíso,Chile,13.32,18.72,0.06,3.0,15.5,15.98
Universidade Federal Fluminense,Brazil,16.15,26.18,0.05,0.0,12.5,22.22
Université de Sousse,Tunisia,18.53,20.27,0.08,2.0,6.4,16.8
Université de Tunis,Tunisia,18.18,13.7,0.09,2.0,11.3,11.56
Université Mohammed V de Rabat,Morocco,26.75,35.78,0.03,4.0,4.8,30.52
"University of Management and Technology (UMT), Pakistan",Pakistan,37.7,39.58,0.06,2.0,7.2,33.54
Mendeleev University of Chemical Technology of Russia,Russian Federation,5.6,12.85,0.08,8.0,4.7,11.4
"The Islamia University of Bahawalpur,Pakistan",Pakistan,30.05,39.62,0.02,0.0,6.2,33.52
Universidad Autónoma de Baja California,Mexico,0.81,9.85,0.05,0.0,10.5,8.34
Universidad Católica de Temuco,Chile,4.29,14.35,0.1,0.0,5.4,13.42
Universidad de Cuenca,Ecuador,3.29,12.75,0.05,1.0,11.1,10.82
Universidad de Tarapaca,Chile,22.9,37.25,0.03,3.0,4.1,33.88
Universidad del Bio-Bio,Chile,1.94,16.18,0.04,1.0,11.6,14.66
